RUN	computerdatabase.BasicSimulation	basicsimulation	1677489971523	 	3.9.2
USER	BasicSimulation	START	1677489972477
REQUEST		request_0	1677489972469	1677489972537	OK	 
REQUEST		request_11	1677489984610	1677489984680	OK	 
REQUEST		request_12	1677489987685	1677489987934	OK	 
REQUEST		request_12 Redirect 1	1677489987935	1677489988034	OK	 
REQUEST		bootstrap.min.css	1677489988082	1677489988184	OK	 
REQUEST		main.css	1677489988082	1677489988279	OK	 
REQUEST		request_13	1677490002295	1677490002384	OK	 
REQUEST		main.css	1677490002386	1677490002474	OK	 
REQUEST		bootstrap.min.css	1677490002386	1677490002477	OK	 
REQUEST		request_14	1677490002386	1677490002562	OK	 
REQUEST		request_15	1677490002387	1677490002568	OK	 
REQUEST		request_16	1677490004575	1677490004663	OK	 
REQUEST		request_17	1677490004666	1677490004755	OK	 
REQUEST		request_18	1677490004666	1677490004758	OK	 
REQUEST		bootstrap.min.css	1677490004666	1677490004766	OK	 
REQUEST		main.css	1677490004666	1677490004806	OK	 
REQUEST		request_19	1677490019814	1677490019910	OK	 
REQUEST		main.css	1677490019912	1677490020000	OK	 
REQUEST		bootstrap.min.css	1677490019912	1677490020004	OK	 
REQUEST		request_21	1677490019912	1677490020007	OK	 
REQUEST		request_20	1677490019912	1677490020025	OK	 
REQUEST		request_22	1677490029028	1677490029117	OK	 
REQUEST		main.css	1677490029119	1677490029208	OK	 
REQUEST		request_24	1677490029119	1677490029208	OK	 
REQUEST		bootstrap.min.css	1677490029119	1677490029212	OK	 
REQUEST		request_23	1677490029119	1677490029212	OK	 
REQUEST		request_25	1677490029120	1677490029298	OK	 
REQUEST		request_28	1677490029209	1677490029299	OK	 
REQUEST		request_26	1677490029120	1677490029301	OK	 
REQUEST		request_27	1677490029208	1677490029302	OK	 
REQUEST		request_29	1677490029212	1677490029305	OK	 
REQUEST		request_30	1677490029213	1677490029316	OK	 
REQUEST		request_32	1677490029300	1677490029387	OK	 
REQUEST		request_31	1677490029298	1677490029388	OK	 
REQUEST		request_34	1677490029303	1677490029391	OK	 
REQUEST		request_33	1677490029302	1677490029393	OK	 
REQUEST		request_35	1677490029305	1677490029428	OK	 
REQUEST		request_36	1677490029317	1677490029431	OK	 
REQUEST		request_37	1677490048446	1677490048537	OK	 
REQUEST		main.css	1677490048539	1677490048628	OK	 
REQUEST		request_39	1677490048540	1677490048632	OK	 
REQUEST		bootstrap.min.css	1677490048539	1677490048634	OK	 
REQUEST		request_38	1677490048540	1677490048635	OK	 
REQUEST		request_40	1677490119643	1677490119915	OK	 
REQUEST		request_40 Redirect 1	1677490119919	1677490120107	OK	 
REQUEST		main.css	1677490120109	1677490120296	OK	 
REQUEST		bootstrap.min.css	1677490120109	1677490120310	OK	 
REQUEST		request_42	1677490120109	1677490120311	OK	 
REQUEST		request_41	1677490120109	1677490120312	OK	 
USER	BasicSimulation	END	1677490120314
